W3PHXNA,nurse,2025-05-12 22:07:13,Success
W3PHXNA,nurse,2025-05-12 22:10:12,Success
W3PHXNA,nurse,2025-05-12 22:11:28,Success
W3PHXNA,nurse,2025-05-12 22:15:14,Success
W3PHXNA,nurse,2025-05-12 22:16:17,Success
W3PHXNA,nurse,2025-05-12 22:18:42,Success
W3PHXNA,nurse,2025-05-12 22:20:04,Success
W3PHXNA,nurse,2025-05-12 22:22:12,Success
W3PHXNA,nurse,2025-05-12 22:23:22,Success
USOOUA9,management,2025-05-12 22:26:23,Success
USOOUA9,management,2025-05-12 22:27:34,Success
USOOUA9,management,2025-05-12 22:28:30,Success
